,Unnamed: 0,ul_la,ul_lo,ur_la,ur_lo,ll_la,ll_lo,lr_la,lr_lo,Unnamed: 9
0,0,-89.750728,39.79990000000001,-89.793474,16.586240000000004,-88.954023,11.771039000000002,-88.963442,6.2580580000000054,
1,1,-89.522128,59.88749100000001,-89.585552,48.93109000000001,-88.772235,32.88939199999999,-88.795326,28.023841000000004,
2,2,-14.323756,71.334305,-16.72985,69.174869,-14.735024,71.445725,-17.15629,69.299801,
3,3,-89.750728,39.79990000000001,-89.793474,16.586240000000004,-88.954023,11.771039000000002,-88.963442,6.2580580000000054,
4,4,-89.522128,59.88749100000001,-89.585552,48.93109000000001,-88.772235,32.88939199999999,-88.795326,28.023841000000004,
5,5,-14.323756,71.334305,-16.72985,69.174869,-14.735024,71.445725,-17.15629,69.299801,
6,6,4.315163,50.985095,4.34102,50.869831000000005,5.1704,50.992919,5.196323,50.877433999999994,
7,7,4.355989,50.972440000000006,4.34752,50.88011499999999,5.213378,50.978196999999994,5.204916,50.885715000000005,
8,8,4.316157,50.98522700000001,4.342016,50.869956,5.171385,50.99305000000001,5.197311,50.87755799999999,
9,9,4.316016,50.985151,4.341872,50.869887000000006,5.171245,50.992977999999994,5.197168,50.87749199999999,
10,10,4.355623,50.972441,4.347155,50.88011599999999,5.213022,50.97819899999999,5.20456,50.885716,
11,11,4.355203,50.97243399999999,4.346735,50.88011,5.212601,50.97819200000001,5.20414,50.88570899999999,
12,12,5.103583,50.99240800000001,5.129503,50.876934000000006,5.170156,50.99303800000001,5.196082,50.877545999999995,
13,13,5.130372,50.992661999999996,5.156294,50.87718100000001,5.170179,50.99303800000001,5.196105,50.877545999999995,
14,14,5.044828,54.75834499999999,5.068108,54.620925,5.900702,54.76799,5.924072,54.630302,
15,15,4.976817,54.733485,4.957728,54.63167100000001,5.834326,54.740791,5.815257,54.63879399999999,
16,16,84.783765,69.957932,84.793938,68.90752,85.623185,71.06092799999999,85.635072,69.80595500000001,
17,17,84.780162,69.953935,84.790329,68.90426099999999,85.619588,71.05526900000001,85.631465,69.80133900000001,
18,18,84.780175,69.953949,84.790342,68.904271,85.619601,71.05528699999999,85.631479,69.80135100000001,
19,19,-70.243685,162.823919,-70.230699,162.44401399999998,-69.42222,162.950851,-69.409443,162.58595100000002,
20,20,-69.691236,32.430963,-69.682252,32.108515,-68.858275,32.557953,-68.849578,32.248055,
21,21,4.315163,50.985095,4.34102,50.869831000000005,5.1704,50.992919,5.196323,50.877433999999994,
22,22,4.355989,50.972440000000006,4.34752,50.88011499999999,5.213378,50.978196999999994,5.204916,50.885715000000005,
23,23,4.316157,50.98522700000001,4.342016,50.869956,5.171385,50.99305000000001,5.197311,50.87755799999999,
24,24,4.316016,50.985151,4.341872,50.869887000000006,5.171245,50.992977999999994,5.197168,50.87749199999999,
